#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
31.2 0.0330 100000 1.48628E-11 2.66366E-2 2.00050E-15 1.54814E-4
31.2 0.0330 316228 1.46573E-11 5.25665E-2 1.48282E-14 1.40893E-3
31.2 0.0330 1E6 1.56679E-11 1.44223E-1 9.28732E-15 5.33393E-4
32.3 0.0360 1000 1.55906E-11 1.09047E-1 3.42991E-14 2.24803E-3
32.3 0.0340 3162 1.50129E-11 4.39298E-2 8.70954E-14 1.03277E-2
32.3 0.0360 10000 1.45157E-11 1.61882E-2 2.89099E-14 3.60263E-3
32.3 0.0340 31623 1.45613E-11 1.16577E-2 1.47165E-14 8.03737E-4
32.3 0.0350 100000 1.46680E-11 2.67091E-2 1.32529E-15 9.92940E-5
32.3 0.0360 316228 1.44713E-11 5.29965E-2 1.04487E-14 8.01020E-4
32.3 0.0360 1E6 1.54625E-11 1.44855E-1 1.02142E-14 6.56414E-4
33.3 0.0370 1000 1.53613E-11 1.06900E-1 4.76601E-14 2.47382E-3
33.3 0.0350 3162 1.45299E-11 4.98909E-2 1.55256E-13 9.19102E-3
33.3 0.0360 10000 1.43471E-11 1.33339E-2 4.03155E-14 3.60316E-3
33.3 0.0340 31623 1.43905E-11 1.14640E-2 1.11304E-14 1.20543E-3
33.3 0.0370 100000 1.44879E-11 2.64106E-2 2.44532E-15 1.11456E-4
33.3 0.0350 316228 1.42879E-11 5.18481E-2 1.17788E-14 1.23589E-3
33.3 0.0350 1E6 1.52736E-11 1.43289E-1 1.14671E-14 4.69941E-4
34.4 0.0360 1000 1.52795E-11 1.09852E-1 3.54334E-14 2.09784E-3
34.4 0.0380 3162 1.43586E-11 4.69622E-2 1.54497E-13 1.37231E-2
34.4 0.0360 10000 1.41884E-11 1.60478E-2 5.64364E-14 5.25528E-3
34.4 0.0360 31623 1.42109E-11 1.19596E-2 1.47756E-14 6.91759E-4
34.4 0.0360 100000 1.43012E-11 2.65345E-2 2.10656E-15 1.93287E-4
34.4 0.0390 316228 1.41025E-11 5.16656E-2 1.04919E-14 1.52601E-3
34.5 0.0370 1E6 1.50886E-11 1.41539E-1 6.41931E-15 4.23097E-4
35.6 0.0380 1000 1.51129E-11 1.09578E-1 2.80831E-14 2.37149E-3
35.6 0.0380 3162 1.43293E-11 2.83450E-2 2.09167E-13 1.14324E-2
35.6 0.0350 10000 1.40246E-11 1.26117E-2 6.87746E-14 2.95049E-3
35.6 0.0390 31623 1.40229E-11 1.16178E-2 1.05388E-14 1.27785E-3
35.6 0.0380 100000 1.41203E-11 2.62066E-2 1.51208E-15 1.52449E-4
35.6 0.0380 316228 1.39272E-11 5.05258E-2 1.49800E-14 1.11042E-3
35.6 0.0370 1E6 1.48981E-11 1.39647E-1 6.44938E-15 5.74000E-4
36.8 0.0380 1000 1.49110E-11 1.08377E-1 3.91132E-14 1.85182E-3
36.8 0.0380 3162 1.40654E-11 2.66672E-2 1.66467E-13 7.70209E-3
36.8 0.0380 10000 1.38603E-11 1.27467E-2 6.64977E-14 2.71348E-3
36.8 0.0380 31623 1.38515E-11 1.18919E-2 1.50801E-14 9.74618E-4
36.8 0.0380 100000 1.39488E-11 2.63389E-2 1.62185E-15 9.48644E-5
